iter	Logloss
0	0.6859118908
1	0.6775765796
2	0.6697804881
3	0.6615689534
4	0.6524459131
5	0.6450447175
6	0.6373136451
7	0.6298637439
8	0.6227144283
9	0.6164056668
10	0.6095409436
11	0.6036785811
12	0.5975090395
13	0.5936421467
14	0.5879622247
15	0.5829160346
16	0.5775337897
17	0.5747494584
18	0.5705107017
19	0.565578748
20	0.5604123769
21	0.5561987071
22	0.5532740627
23	0.5493204776
24	0.5450589409
25	0.5414497891
26	0.5383459498
27	0.5344877072
28	0.5312823841
29	0.5294267667
30	0.5257598867
31	0.5226572739
32	0.5194450605
33	0.5160277064
34	0.5129113578
35	0.5100429769
36	0.5064310681
37	0.5030519886
38	0.5002080153
39	0.4975221452
40	0.4952227114
41	0.492294618
42	0.4898489786
43	0.4872694294
44	0.4854906486
45	0.4833416569
46	0.4810968616
47	0.4787686667
48	0.4768802721
49	0.4751322662
50	0.4734722164
51	0.4714547338
52	0.4694574864
53	0.4677495986
54	0.4661153187
55	0.464003888
56	0.4628248835
57	0.4607816467
58	0.459362727
59	0.4579856922
60	0.4560610946
61	0.4545363871
62	0.4531319969
63	0.451388723
64	0.4501709184
65	0.4495513755
66	0.447733885
67	0.4463707341
68	0.4452015625
69	0.4438218446
70	0.4423258101
71	0.4406639625
72	0.4392790241
73	0.438124331
74	0.4370083106
75	0.4355157848
76	0.4341332887
77	0.4327472246
78	0.4315157614
79	0.4303835991
80	0.4293638756
81	0.4283544592
82	0.4275690846
83	0.4266261083
84	0.4254082481
85	0.4241107366
86	0.4233482823
87	0.4223591395
88	0.4214396454
89	0.4209673127
90	0.4201152606
91	0.4194345203
92	0.4183887765
93	0.4174811796
94	0.4166355078
95	0.4158436177
96	0.4149632693
97	0.4141766578
98	0.4133999498
99	0.4127408911
100	0.4121554952
101	0.4114361595
102	0.4106176052
103	0.4097505262
104	0.4090621416
105	0.4081371641
106	0.4072688943
107	0.4063713603
108	0.4057508187
109	0.4049484573
110	0.4044224664
111	0.4036327472
112	0.4030245034
113	0.40244187
114	0.4017287455
115	0.401070039
116	0.4003909381
117	0.3997950485
118	0.3991936863
119	0.398459355
120	0.397915035
121	0.3972230725
122	0.3966660207
123	0.39613654
124	0.3954514825
125	0.394621009
126	0.3939948209
127	0.3932934231
128	0.3926428913
129	0.3920690414
130	0.3915362156
131	0.390917875
132	0.3902017484
133	0.3896466816
134	0.3891756026
135	0.3886037957
136	0.3881561011
137	0.3872451197
138	0.3867349962
139	0.3861596088
140	0.3857123862
141	0.3850445842
142	0.3844566065
143	0.3840142444
144	0.3834862034
145	0.3833434453
146	0.3827954404
147	0.3822121257
148	0.3817154203
149	0.3809904147
150	0.3804905955
151	0.3799453828
152	0.3795359735
153	0.3788422826
154	0.3784911498
155	0.3779819499
156	0.3775900408
157	0.3771764194
158	0.3767448822
159	0.3765076491
160	0.3759967861
161	0.3756041424
162	0.3752121732
163	0.3748434836
164	0.3741695336
165	0.3737779284
166	0.3735372808
167	0.3731367347
168	0.3726993595
169	0.3722100644
170	0.3717680652
171	0.3714028508
172	0.3709449128
173	0.370518113
174	0.3700652873
175	0.3696362742
176	0.3691573342
177	0.3688230714
178	0.368380613
179	0.3679708671
180	0.367478068
181	0.3670581931
182	0.3667116463
183	0.366335208
184	0.3658676143
185	0.3654991592
186	0.3651069944
187	0.3647219427
188	0.3643895896
189	0.3640641291
190	0.3638162824
191	0.3634897365
192	0.3631753464
193	0.3627676723
194	0.3624081229
195	0.3621332384
196	0.3616406469
197	0.3611786678
198	0.3606947351
