iter	Passed	Remaining
0	12	12808
1	15	7847
2	18	6170
3	22	5538
4	25	5062
5	28	4692
6	31	4413
7	33	4201
8	37	4106
9	41	4062
10	43	3951
11	46	3846
12	49	3757
13	52	3684
14	56	3701
15	59	3646
16	62	3593
17	64	3509
18	67	3467
19	71	3497
20	74	3470
21	77	3451
22	80	3417
23	83	3385
24	88	3434
25	90	3408
26	94	3387
27	96	3361
28	99	3334
29	103	3350
30	106	3329
31	109	3305
32	112	3284
33	114	3264
34	119	3286
35	122	3269
36	124	3250
37	127	3232
38	130	3218
39	135	3240
40	137	3226
41	140	3209
42	143	3195
43	146	3181
44	150	3195
45	153	3184
46	156	3173
47	159	3166
48	162	3150
49	167	3174
50	169	3162
51	172	3148
52	175	3134
53	178	3121
54	182	3135
55	185	3126
56	188	3122
57	191	3112
58	194	3099
59	198	3109
60	201	3101
61	204	3090
62	206	3078
63	210	3075
64	214	3085
65	216	3069
66	219	3060
67	222	3050
68	225	3040
69	229	3047
70	232	3040
71	235	3032
72	238	3023
73	240	3014
74	244	3017
75	247	3012
76	250	3007
77	253	2997
78	256	2988
79	260	2994
80	263	2988
81	266	2979
82	268	2970
83	271	2961
84	274	2953
85	278	2959
86	281	2952
87	284	2945
88	286	2936
89	289	2924
90	293	2929
91	296	2922
92	298	2914
93	301	2906
94	304	2897
95	307	2899
96	310	2894
97	313	2887
98	316	2879
99	318	2870
100	321	2862
101	325	2869
102	328	2861
103	331	2854
104	334	2847
105	336	2839
106	340	2842
107	343	2836
108	346	2829
109	348	2821
110	351	2814
111	354	2809
112	357	2809
113	360	2802
114	363	2795
115	365	2788
116	368	2782
117	372	2786
118	375	2782
119	378	2777
120	381	2771
121	384	2765
122	390	2783
123	393	2780
124	396	2775
125	399	2770
126	403	2771
127	406	2767
128	409	2762
129	411	2756
130	414	2750
131	417	2746
132	421	2746
133	424	2741
134	426	2735
135	429	2730
136	432	2724
137	436	2726
138	439	2721
139	442	2716
140	444	2710
141	447	2705
142	452	2709
143	454	2704
144	457	2699
145	460	2690
146	462	2685
147	467	2690
148	470	2686
149	473	2681
150	476	2677
151	478	2671
152	482	2671
153	485	2668
154	488	2663
155	491	2659
156	494	2654
157	498	2655
158	501	2653
159	504	2648
160	507	2643
161	510	2638
162	513	2637
163	516	2634
164	519	2629
165	522	2626
166	525	2621
167	528	2619
168	532	2617
169	535	2612
170	538	2608
171	540	2603
172	543	2599
173	547	2600
174	550	2596
175	553	2591
176	556	2586
177	559	2582
178	563	2583
179	566	2579
180	569	2575
181	571	2570
182	574	2565
183	578	2566
184	581	2562
185	584	2559
186	587	2555
187	590	2550
188	594	2552
189	597	2548
190	600	2543
191	603	2539
192	606	2535
193	610	2535
194	613	2532
195	616	2527
196	618	2522
197	621	2518
198	625	2516
199	628	2513
200	631	2509
201	634	2504
202	636	2500
203	639	2496
204	643	2494
205	646	2490
206	648	2486
207	651	2481
208	654	2477
209	658	2478
210	661	2474
211	664	2469
212	667	2464
213	669	2460
214	674	2462
215	677	2458
216	680	2454
217	682	2449
218	685	2445
219	689	2444
220	692	2441
221	695	2438
222	698	2433
223	701	2429
224	706	2431
225	709	2428
226	711	2424
227	714	2420
228	717	2416
229	723	2420
230	725	2416
231	729	2413
232	731	2409
233	735	2406
234	738	2404
235	741	2399
236	744	2395
237	746	2391
238	749	2387
239	753	2386
240	756	2383
241	759	2378
242	762	2374
243	765	2372
244	771	2377
245	774	2374
246	777	2370
247	780	2365
248	784	2366
249	787	2363
250	791	2360
251	793	2356
252	796	2352
253	801	2353
254	804	2349
255	807	2345
256	810	2341
257	812	2337
258	817	2339
259	820	2334
260	823	2330
261	826	2326
262	828	2322
263	833	2324
264	836	2320
265	839	2316
266	842	2312
267	845	2308
268	848	2305
269	851	2301
270	854	2297
271	856	2293
272	859	2288
273	863	2288
274	866	2284
275	869	2280
276	872	2276
277	874	2271
278	879	2272
279	882	2269
280	885	2265
281	887	2260
282	890	2256
283	895	2258
284	898	2254
285	901	2251
286	904	2247
287	908	2245
288	911	2242
289	914	2238
290	916	2233
291	919	2229
292	922	2225
293	926	2224
294	929	2220
295	931	2216
296	934	2212
297	937	2207
298	940	2205
299	943	2202
300	946	2197
301	948	2193
302	951	2188
303	954	2184
304	958	2183
